factor_name,Group1,Group2,Group3,Group4,Group5,ic_mean,ic_sign,icir,long-average,long-short,signic>0,signic>0.04,t
"PartialRatio($volume, 240, ""sum"", 0, 30 )",0.000449595,-4.03E-05,0.000510449,0.000534457,-4.75E-05,-0.027932313,1,2.860216494,0.000209118,0.000497108,0.667010309,0.433505155,-17.7453473
"PartialRatio($num_trades, 240, ""sum"", 0, 30 )",-0.001031889,8.03E-05,0.000616065,0.000677015,-5.87E-05,-0.03185643,1,3.249273458,-0.001062657,-0.000973207,0.69870283,0.451061321,-18.84880922
"DownResample(UpStd($close/Ref($close,1) - 1,240), 240, 'last')",-0.004813903,5.60E-05,0.000869334,0.001194569,0.004402961,-0.074100112,1,4.606566555,-0.005054381,-0.009216863,0.748969072,0.630927835,-28.58004755
"DownResample(UpStd($close/Ref($close,2) - 1,240), 240, 'last')",-0.005364709,1.39E-05,0.001113813,0.001439133,0.004520173,-0.082615587,1,5.064009544,-0.005605187,-0.009884882,0.76185567,0.662371134,-31.41811408
"DownResample(UpStd($close/Ref($close,3) - 1,240), 240, 'last')",-0.00542158,-1.43E-05,0.001175525,0.001447163,0.004506423,-0.083898429,1,5.173645318,-0.005662058,-0.009928003,0.770618557,0.674226804,-32.09831604
"DownResample(UpStd($close/Ref($close,4) - 1,240), 240, 'last')",-0.005399094,-2.27E-05,0.00115777,0.001472694,0.004498794,-0.083908697,1,5.223187284,-0.005639572,-0.009897888,0.771134021,0.669587629,-32.40568417
"DownResample(UpStd($close/Ref($close,5) - 1,240), 240, 'last')",-0.005411392,2.61E-05,0.001136627,0.001477292,0.004346628,-0.083534613,1,5.243415281,-0.00565187,-0.00975802,0.771649485,0.671134021,-32.53118266
"DownResample(UpStd($close/Ref($close,6) - 1,240), 240, 'last')",-0.005368015,2.93E-05,0.001120426,0.00147245,0.004445448,-0.082943509,1,5.246505108,-0.005608493,-0.009813463,0.772680412,0.667525773,-32.55035255
"DownResample(UpStd($close/Ref($close,7) - 1,240), 240, 'last')",-0.005326742,3.40E-05,0.001138028,0.001455364,0.00433793,-0.082295566,1,5.239124999,-0.00556722,-0.009664672,0.77371134,0.668556701,-32.5045649
"DownResample(UpStd($close/Ref($close,8) - 1,240), 240, 'last')",-0.005266515,-1.53E-05,0.001151424,0.001445452,0.004319248,-0.081668559,1,5.223786423,-0.005506993,-0.009585763,0.774742268,0.667010309,-32.40940135
"DownResample(UpStd($close/Ref($close,9) - 1,240), 240, 'last')",-0.005238745,-5.75E-05,0.001189269,0.001459945,0.004313614,-0.081126627,1,5.20724267,-0.005479223,-0.009552359,0.774226804,0.664948454,-32.30676064
"DownResample(UpStd($close/Ref($close,10) - 1,240), 240, 'last')",-0.005195989,-5.17E-05,0.001155771,0.00145417,0.004382953,-0.080609922,1,5.190522124,-0.005436467,-0.009578943,0.774226804,0.660824742,-32.20302308
"DownResample(UpStd($close/Ref($close,11) - 1,240), 240, 'last')",-0.005150116,-5.58E-05,0.001168305,0.001423287,0.004291535,-0.079991864,1,5.16033493,-0.005390594,-0.009441651,0.77371134,0.659793814,-32.01573577
"DownResample(UpStd($close/Ref($close,12) - 1,240), 240, 'last')",-0.005122686,-4.81E-05,0.00115732,0.001426718,0.004276219,-0.079458953,1,5.137231057,-0.005363164,-0.009398905,0.773195876,0.658762887,-31.87239478
